id,circles,vms_max,vms_mean,area_fraction,size
0,17,709272509.3009533,58208658.42850058,28.68434027158177,16.0
1,17,1023281429.050454,59390052.900673,28.716070312746716,16.0
2,14,732594886.7351443,59199407.54917122,28.979719100536204,16.0
3,15,362013977.8806265,59424232.410140134,28.729237557719458,16.0
4,22,383600784.1897145,57616518.98280714,28.891649737690177,16.0
5,20,554628101.4295673,58779165.88734238,29.98656047130661,16.0
